Do you trust the OAC to represent your climbing interests?
reasonably so
very much
very much
rather not
very much
reasonably so
reasonably so
reasonably so
very much
reasonably so
very much
rather not
reasonably so

very much
reasonably so

very much
reasonably so

reasonably so
very much
very much
reasonably so
very much
reasonably so
reasonably so
reasonably so
reasonably so
very much
reasonably so
reasonably so
very much
reasonably so
reasonably so
very much
reasonably so
reasonably so
very much
very much
very much
very much
very much
very much
reasonably so
very much
very much
very much
reasonably so
reasonably so
very much
reasonably so
very much
reasonably so

very much
reasonably so
very much
reasonably so

reasonably so
very much
reasonably so
very much
reasonably so
reasonably so


very much
reasonably so
very much
reasonably so
very much
very much
reasonably so
reasonably so
reasonably so
reasonably so
very much
rather not

reasonably so
very much
reasonably so
very much
very much
reasonably so
very much
reasonably so
reasonably so
very much
reasonably so
reasonably so
very much
reasonably so
rather not
reasonably so
very much
very much
reasonably so
reasonably so
very much
reasonably so
very much
very much
very much
reasonably so
very much
very much
very much
very much
reasonably so
reasonably so
very much
reasonably so
very much
very much
reasonably so
reasonably so
reasonably so
very much
very much

reasonably so
reasonably so
reasonably so
very much
very much
very much
reasonably so
rather not
very much
very much
very much
reasonably so
reasonably so
reasonably so
very much
very much
reasonably so
very much
reasonably so
very much
reasonably so
very much
very much
reasonably so
very much
rather not
reasonably so
reasonably so

reasonably so
reasonably so
reasonably so
reasonably so
very much
very much
reasonably so
very much
very much
reasonably so
reasonably so
reasonably so

reasonably so
reasonably so
reasonably so
very much
not at all
very much
rather not
reasonably so
very much
reasonably so
very much
reasonably so
very much
very much
reasonably so
reasonably so

very much
very much
reasonably so
very much
very much
very much
very much
very much
reasonably so
reasonably so
very much
very much
reasonably so
reasonably so
reasonably so
very much

reasonably so
reasonably so
reasonably so
very much
very much
reasonably so
very much
reasonably so
not at all
reasonably so
reasonably so
